Exercise,Muscle,Equipment,Difficulty,Male,Female
Machine Assisted Neutral Chin Up,"Biceps, Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-assisted-neutral-chin-up,https://musclewiki.com/machine/female/biceps/machine-assisted-neutral-chin-up
Machine Assisted Chin Up,"Biceps, Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-assisted-chin-up,https://musclewiki.com/machine/female/biceps/machine-assisted-chin-up
Machine Underhand Row,"Biceps, Lats",Machine,Novice,https://musclewiki.com/machine/male/biceps/machine-underhand-row,https://musclewiki.com/machine/female/biceps/machine-underhand-row
Kettlebell Goblet Curl,Biceps,Kettlebells,Novice,https://musclewiki.com/kettlebells/male/biceps/kettlebell-goblet-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-goblet-curl
Kettlebell Concentration Curl,Biceps,Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/biceps/kettlebell-concentration-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-concentration-curl
Kettlebell Preacher Curl,Biceps,Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/biceps/kettlebell-preacher-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-preacher-curl
Kettlebell Row (Single),"Biceps, Traps (mid-back), Forearms, Lats",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/biceps/kettlebell-row-single,https://musclewiki.com/kettlebells/female/biceps/kettlebell-row-single
Kettlebell Rear Delt Row,"Biceps, Shoulders, Posterior Deltoid, Rear Shoulders",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/biceps/kettlebell-rear-delt-row,https://musclewiki.com/kettlebells/female/biceps/kettlebell-rear-delt-row
Kettlebell Single Arm Curl,Biceps,Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/biceps/kettlebell-single-arm-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-single-arm-curl
Kettlebell Single Arm Row,"Biceps, Forearms, Lats",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/biceps/kettlebell-single-arm-row,https://musclewiki.com/kettlebells/female/biceps/kettlebell-single-arm-row
Kettlebell Alternating Row,"Biceps, Forearms, Lats",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/biceps/kettlebell-alternating-row,https://musclewiki.com/kettlebells/female/biceps/kettlebell-alternating-row
Kettlebell Curl,Biceps,Kettlebells,Novice,https://musclewiki.com/kettlebells/male/biceps/kettlebell-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-curl
Kettlebell Gorilla Row,"Biceps, Lats, Obliques",Kettlebells,Intermediate,https://musclewiki.com/kettlebells/male/biceps/kettlebell-gorilla-row,https://musclewiki.com/kettlebells/female/biceps/kettlebell-gorilla-row
Kettlebell Rear Delt Row (Double),"Biceps, Traps (mid-back), Shoulders, Posterior Deltoid, Rear Shoulders",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/biceps/kettlebell-rear-delt-row-double,https://musclewiki.com/kettlebells/female/biceps/kettlebell-rear-delt-row-double
Kettlebell Reverse Curl,"Biceps, Forearms",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/biceps/kettlebell-reverse-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-reverse-curl
Kettlebell Row,"Biceps, Forearms, Lats",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/biceps/kettlebell-row,https://musclewiki.com/kettlebells/female/biceps/kettlebell-row
Kettlebell Single Arm Reverse Curl,"Biceps, Forearms",Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/biceps/kettlebell-single-arm-reverse-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-single-arm-reverse-curl
Kettlebell Single Arm Row On Bench,"Biceps, Forearms, Lats",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/biceps/kettlebell-single-arm-row-on-bench,https://musclewiki.com/kettlebells/female/biceps/kettlebell-single-arm-row-on-bench
Biceps Stretch Variation Five,Biceps,Stretches,Novice,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-five,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-five
Biceps Stretch Variation Four,Biceps,Stretches,Novice,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-four,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-four
Biceps Stretch Variation Three,Biceps,Stretches,Novice,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-three,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-three
Biceps Stretch Variation Two,Biceps,Stretches,Novice,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-two,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-two
Biceps Stretch Variation One,Biceps,Stretches,Novice,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-one,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-one
Cable Pull In,"Biceps, Lats",Cables,Novice,https://musclewiki.com/cables/male/biceps/cable-pull-in,https://musclewiki.com/cables/female/biceps/cable-pull-in
Cable Twisting Curl,Biceps,Cables,Advanced,https://musclewiki.com/cables/male/biceps/cable-twisting-curl,https://musclewiki.com/cables/female/biceps/cable-twisting-curl
Cable Single Arm Bayesian Curl,"Biceps, Long Head Bicep, Short Head Bicep",Cables,Beginner,https://musclewiki.com/cables/male/biceps/cable-single-arm-bayesian-curl,https://musclewiki.com/cables/female/biceps/cable-single-arm-bayesian-curl
Cable Single Arm Reverse Curl,"Biceps, Forearms, Wrist Extensors, Wrist Flexors",Cables,Beginner,https://musclewiki.com/cables/male/biceps/cable-single-arm-reverse-curl,https://musclewiki.com/cables/female/biceps/cable-single-arm-reverse-curl
Cable Single Arm Hammer Curl,Biceps,Cables,Beginner,https://musclewiki.com/cables/male/biceps/cable-single-arm-hammer-curl,https://musclewiki.com/cables/female/biceps/cable-single-arm-hammer-curl
Cable Row Bar Standing Row,"Biceps, Traps (mid-back), Lats",Cables,Novice,https://musclewiki.com/cables/male/biceps/cable-row-bar-standing-row,https://musclewiki.com/cables/female/biceps/cable-row-bar-standing-row
Cable Single Arm Underhand Grip Row,"Biceps, Traps (mid-back), Lats",Cables,Novice,https://musclewiki.com/cables/male/biceps/cable-single-arm-underhand-grip-row,https://musclewiki.com/cables/female/biceps/cable-single-arm-underhand-grip-row
