Exercise,Muscle,Equipment,Difficulty,Male,Female
Triceps Stretch Variation One,Triceps,Stretches,Novice,https://musclewiki.com/stretches/male/triceps/triceps-stretch-variation-one,https://musclewiki.com/stretches/female/triceps/triceps-stretch-variation-one
Cable Rope Pushdown,"Triceps, Lateral Head Triceps, Medial Head Triceps",Cables,Novice,https://musclewiki.com/cables/male/triceps/cable-rope-pushdown,https://musclewiki.com/cables/female/triceps/cable-rope-pushdown
Cable Cross Pushdown,Triceps,Cables,Advanced,https://musclewiki.com/cables/male/triceps/cable-cross-pushdown,https://musclewiki.com/cables/female/triceps/cable-cross-pushdown
Cable Rope Skullcrusher,Triceps,Cables,Beginner,https://musclewiki.com/cables/male/triceps/cable-rope-skullcrusher,https://musclewiki.com/cables/female/triceps/cable-rope-skullcrusher
Cable Rope Overhead Tricep Extension,"Triceps, Long Head Tricep",Cables,Beginner,https://musclewiki.com/cables/male/triceps/cable-rope-overhead-tricep-extension,https://musclewiki.com/cables/female/triceps/cable-rope-overhead-tricep-extension
Cable Tricep Kickback,"Triceps, Lateral Head Triceps, Medial Head Triceps",Cables,Beginner,https://musclewiki.com/cables/male/triceps/cable-tricep-kickback,https://musclewiki.com/cables/female/triceps/cable-tricep-kickback
Cable Single Arm Incline Bench Press,"Triceps, Chest, Upper Pectoralis",Cables,Beginner,https://musclewiki.com/cables/male/triceps/cable-single-arm-incline-bench-press,https://musclewiki.com/cables/female/triceps/cable-single-arm-incline-bench-press
Cable Bar Reverse Grip Pushdown,"Triceps, Lateral Head Triceps, Medial Head Triceps",Cables,Beginner,https://musclewiki.com/cables/male/triceps/cable-bar-reverse-grip-pushdown,https://musclewiki.com/cables/female/triceps/cable-bar-reverse-grip-pushdown
Cable Bar Pushdown,"Triceps, Lateral Head Triceps, Medial Head Triceps",Cables,Novice,https://musclewiki.com/cables/male/triceps/cable-bar-pushdown,https://musclewiki.com/cables/female/triceps/cable-bar-pushdown
Cable Single Arm Skullcrusher,Triceps,Cables,Beginner,https://musclewiki.com/cables/male/triceps/cable-single-arm-skullcrusher,https://musclewiki.com/cables/female/triceps/cable-single-arm-skullcrusher
Cable Single Arm Rope Pushdown,"Triceps, Lateral Head Triceps, Medial Head Triceps",Cables,Novice,https://musclewiki.com/cables/male/triceps/cable-single-arm-rope-pushdown,https://musclewiki.com/cables/female/triceps/cable-single-arm-rope-pushdown
Cable Single Arm Cross Pushdown,Triceps,Cables,Beginner,https://musclewiki.com/cables/male/triceps/cable-single-arm-cross-pushdown,https://musclewiki.com/cables/female/triceps/cable-single-arm-cross-pushdown
Band Single Arm Chest Press,"Triceps, Chest",Band,Beginner,https://musclewiki.com/band/male/triceps/band-single-arm-chest-press,https://musclewiki.com/band/female/triceps/band-single-arm-chest-press
Band Overhead Tricep Extension,"Triceps, Long Head Tricep",Band,Advanced,https://musclewiki.com/band/male/triceps/band-overhead-tricep-extension,https://musclewiki.com/band/female/triceps/band-overhead-tricep-extension
Band Pushdown,Triceps,Band,Novice,https://musclewiki.com/band/male/triceps/band-pushdown,https://musclewiki.com/band/female/triceps/band-pushdown
Band Pushup,"Triceps, Chest, Mid and Lower Chest",Band,Intermediate,https://musclewiki.com/band/male/triceps/band-pushup,https://musclewiki.com/band/female/triceps/band-pushup
Band Skullcrusher,Triceps,Band,Advanced,https://musclewiki.com/band/male/triceps/band-skullcrusher,https://musclewiki.com/band/female/triceps/band-skullcrusher
Band Chest Press,"Triceps, Chest",Band,Novice,https://musclewiki.com/band/male/triceps/band-chest-press,https://musclewiki.com/band/female/triceps/band-chest-press
Band Rapunzel Pushdown,Triceps,Band,Beginner,https://musclewiki.com/band/male/triceps/band-rapunzel-pushdown,https://musclewiki.com/band/female/triceps/band-rapunzel-pushdown
Band Single Arm Pushdown,Triceps,Band,Novice,https://musclewiki.com/band/male/triceps/band-single-arm-pushdown,https://musclewiki.com/band/female/triceps/band-single-arm-pushdown
Single Arm Rapunzel Pushdown,Triceps,Band,Beginner,https://musclewiki.com/band/male/triceps/single-arm-rapunzel-pushdown,https://musclewiki.com/band/female/triceps/single-arm-rapunzel-pushdown
Band Single Arm Skullcrusher,Triceps,Band,Beginner,https://musclewiki.com/band/male/triceps/band-single-arm-skullcrusher,https://musclewiki.com/band/female/triceps/band-single-arm-skullcrusher
Plate Overhead Tricep Extension,Triceps,Plate,Novice,https://musclewiki.com/plate/male/triceps/plate-overhead-tricep-extension,https://musclewiki.com/plate/female/triceps/plate-overhead-tricep-extension
Plate Deficit Pushup,"Triceps, Chest",Plate,Advanced,https://musclewiki.com/plate/male/triceps/plate-deficit-pushup,https://musclewiki.com/plate/female/triceps/plate-deficit-pushup
Weighted Diamond Push Ups,"Triceps, Lateral Head Triceps, Medial Head Triceps",Plate,Intermediate,https://musclewiki.com/plate/male/triceps/weighted-diamond-push-ups,https://musclewiki.com/plate/female/triceps/weighted-diamond-push-ups
Weighted Knee Push Ups,"Triceps, Chest, Mid and Lower Chest",Plate,Beginner,https://musclewiki.com/plate/male/triceps/weighted-knee-push-ups,https://musclewiki.com/plate/female/triceps/weighted-knee-push-ups
Plate Weighted Dip,"Triceps, Chest, Mid and Lower Chest",Plate,Intermediate,https://musclewiki.com/plate/male/triceps/plate-weighted-dip,https://musclewiki.com/plate/female/triceps/plate-weighted-dip
TRX Skullcrusher,Triceps,TRX,Beginner,https://musclewiki.com/trx/male/triceps/trx-skullcrusher,https://musclewiki.com/trx/female/triceps/trx-skullcrusher
Child Pose Elbows On Block,Triceps,Yoga,Beginner,https://musclewiki.com/yoga/male/triceps/child-pose-elbows-on-block,https://musclewiki.com/yoga/female/triceps/child-pose-elbows-on-block
One Arm Cow Face Pose,Triceps,Yoga,Beginner,https://musclewiki.com/yoga/male/triceps/one-arm-cow-face-pose,https://musclewiki.com/yoga/female/triceps/one-arm-cow-face-pose
Pyramid Prayer,Triceps,Yoga,Beginner,https://musclewiki.com/yoga/male/triceps/pyramid-prayer,https://musclewiki.com/yoga/female/triceps/pyramid-prayer
Bosu Ball Offset Pushup,"Triceps, Chest",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/triceps/bosu-ball-offset-pushup,https://musclewiki.com/bosu-ball/female/triceps/bosu-ball-offset-pushup
Bosu Ball Pushup,"Triceps, Chest",Bosu-Ball,Intermediate,https://musclewiki.com/bosu-ball/male/triceps/bosu-ball-pushup,https://musclewiki.com/bosu-ball/female/triceps/bosu-ball-pushup
Vitruvian Push Up,"Triceps, Chest",Vitruvian,Intermediate,https://musclewiki.com/vitruvian/male/triceps/vitruvian-push-up,https://musclewiki.com/vitruvian/female/triceps/vitruvian-push-up
Smith Machine Skullcrusher,"Triceps, Lateral Head Triceps",Smith-Machine,Intermediate,https://musclewiki.com/smith-machine/male/triceps/smith-machine-skullcrusher,https://musclewiki.com/smith-machine/female/triceps/smith-machine-skullcrusher
Smith Machine Guillotine Bench Press,"Triceps, Chest",Smith-Machine,Intermediate,https://musclewiki.com/smith-machine/male/triceps/smith-machine-guillotine-bench-press,https://musclewiki.com/smith-machine/female/triceps/smith-machine-guillotine-bench-press
Smith Machine Close Grip Bench Press,"Triceps, Lateral Head Triceps, Medial Head Triceps",Smith-Machine,Beginner,https://musclewiki.com/smith-machine/male/triceps/smith-machine-close-grip-bench-press,https://musclewiki.com/smith-machine/female/triceps/smith-machine-close-grip-bench-press
Smith Machine Bodyweight Skullcrusher,Triceps,Smith-Machine,Beginner,https://musclewiki.com/smith-machine/male/triceps/smith-machine-bodyweight-skullcrusher,https://musclewiki.com/smith-machine/female/triceps/smith-machine-bodyweight-skullcrusher
Elbow Extensor Mobilisation Kneeling Lacrosse Ball,Triceps,Recovery,Beginner,https://musclewiki.com/recovery/male/triceps/elbow-extensor-mobilisation-kneeling-lacrosse-ball,https://musclewiki.com/recovery/female/triceps/elbow-extensor-mobilisation-kneeling-lacrosse-ball
Elbow Extensor Isometric Seated Overhead Dumbbell,Triceps,Recovery,Beginner,https://musclewiki.com/recovery/male/triceps/elbow-extensor-isometric-seated-overhead-dumbbell,https://musclewiki.com/recovery/female/triceps/elbow-extensor-isometric-seated-overhead-dumbbell
Long Head Tricep,,,,,
Lateral Head Triceps,,,,,
Medial Head Triceps,,,,,
Traps,,,,,
Barbell Shrug,Traps,Barbell,Beginner,https://musclewiki.com/barbell/male/traps/barbell-shrug,https://musclewiki.com/barbell/female/traps/barbell-shrug
Dumbbell Seated Shrug,"Traps, Upper Traps",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/traps/dumbbell-seated-shrug,https://musclewiki.com/dumbbells/female/traps/dumbbell-seated-shrug
Dumbbell Shrug,"Traps, Upper Traps",Dumbbells,Novice,https://musclewiki.com/dumbbells/male/traps/dumbbell-shrug,https://musclewiki.com/dumbbells/female/traps/dumbbell-shrug
Dumbbell Laying 30 Degree Shrug,Traps,Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/traps/dumbbell-laying-30-degree-shrug,https://musclewiki.com/dumbbells/female/traps/dumbbell-laying-30-degree-shrug
Elevated Pike Shoulder Shrug,"Traps, Upper Traps",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/traps/elevated-pike-shoulder-shrug,https://musclewiki.com/bodyweight/female/traps/elevated-pike-shoulder-shrug
Bodyweight Pike Shrug,"Traps, Upper Traps",Bodyweight,Intermediate,https://musclewiki.com/bodyweight/male/traps/bodyweight-pike-shrug,https://musclewiki.com/bodyweight/female/traps/bodyweight-pike-shrug
Smith Machine Standing Shrugs,"Traps, Upper Traps",Machine,Beginner,https://musclewiki.com/machine/male/traps/smith-machine-standing-shrugs,https://musclewiki.com/machine/female/traps/smith-machine-standing-shrugs
Kettlebell Shrug (Single),Traps,Kettlebells,Novice,https://musclewiki.com/kettlebells/male/traps/kettlebell-shrug-single,https://musclewiki.com/kettlebells/female/traps/kettlebell-shrug-single
Kettlebell Shrug,"Traps, Upper Traps",Kettlebells,Novice,https://musclewiki.com/kettlebells/male/traps/kettlebell-shrug,https://musclewiki.com/kettlebells/female/traps/kettlebell-shrug
Traps Stretch Variation Three,Traps,Stretches,Novice,https://musclewiki.com/stretches/male/traps/traps-stretch-variation-three,https://musclewiki.com/stretches/female/traps/traps-stretch-variation-three
Traps Stretch Variation Two,Traps,Stretches,Novice,https://musclewiki.com/stretches/male/traps/traps-stretch-variation-two,https://musclewiki.com/stretches/female/traps/traps-stretch-variation-two
Traps Stretch Variation One,Traps,Stretches,Novice,https://musclewiki.com/stretches/male/traps/traps-stretch-variation-one,https://musclewiki.com/stretches/female/traps/traps-stretch-variation-one
Cable 30 Degree Shrug,"Traps, Upper Traps",Cables,Beginner,https://musclewiki.com/cables/male/traps/cable-30-degree-shrug,https://musclewiki.com/cables/female/traps/cable-30-degree-shrug
Cable Single Arm 30 Degree Shrug,"Traps, Upper Traps",Cables,Beginner,https://musclewiki.com/cables/male/traps/cable-single-arm-30-degree-shrug,https://musclewiki.com/cables/female/traps/cable-single-arm-30-degree-shrug
Band Shrug,Traps,Band,Novice,https://musclewiki.com/band/male/traps/band-shrug,https://musclewiki.com/band/female/traps/band-shrug
Plate Overhead Shrug,Traps,Plate,Advanced,https://musclewiki.com/plate/male/traps/plate-overhead-shrug,https://musclewiki.com/plate/female/traps/plate-overhead-shrug
Criss Cross Bow Tie Pose,Traps,Yoga,Beginner,https://musclewiki.com/yoga/male/traps/bow-tie-pose,https://musclewiki.com/yoga/female/traps/bow-tie-pose
Eagle Arms Chin Into Chest,Traps,Yoga,Beginner,https://musclewiki.com/yoga/male/traps/eagle-arms-chin-into-chest,https://musclewiki.com/yoga/female/traps/eagle-arms-chin-into-chest
Easy Pose Neck Stretch,Traps,Yoga,Beginner,https://musclewiki.com/yoga/male/traps/easy-pose-neck-stretch,https://musclewiki.com/yoga/female/traps/easy-pose-neck-stretch
Half Neck Rolls,Traps,Yoga,Beginner,https://musclewiki.com/yoga/male/traps/half-neck-rolls,https://musclewiki.com/yoga/female/traps/half-neck-rolls
Thread The Needle Hip Over Knees,Traps,Yoga,Intermediate,https://musclewiki.com/yoga/male/traps/thread-the-needle-hip-over-knees,https://musclewiki.com/yoga/female/traps/thread-the-needle-hip-over-knees
Bosu Ball Pike Shrug,"Traps, Upper Traps",Bosu-Ball,Beginner,https://musclewiki.com/bosu-ball/male/traps/pike-shrug,https://musclewiki.com/bosu-ball/female/traps/pike-shrug
Vitruvian Shrug,Traps,Vitruvian,Beginner,https://musclewiki.com/vitruvian/male/traps/shrug,https://musclewiki.com/vitruvian/female/traps/shrug
Seated Upper Trap And Suprispinatus Stretch,Traps,Recovery,Novice,https://musclewiki.com/recovery/male/traps/seated-upper-trap-and-suprispinatus-stretch,https://musclewiki.com/recovery/female/traps/seated-upper-trap-and-suprispinatus-stretch
Thoracic Flexion And Extensions,Traps,Recovery,Novice,https://musclewiki.com/recovery/male/shoulders/thoracic-flexion-and-extensions,https://musclewiki.com/recovery/female/shoulders/thoracic-flexion-and-extensions
Shoulder Flexion Thoracic Extensions,Traps,Recovery,Novice,https://musclewiki.com/recovery/male/shoulders/shoulder-flexion-thoracic-extensions,https://musclewiki.com/recovery/female/shoulders/shoulder-flexion-thoracic-extensions
Thoracic Extensions Foam Roller,Traps,Recovery,Novice,https://musclewiki.com/recovery/male/scapula/thoracic-extensions-foam-roller,https://musclewiki.com/recovery/female/scapula/thoracic-extensions-foam-roller
Upper Traps,,,,,
Scapular Elevation,Upper Traps,Recovery,Novice,https://musclewiki.com/recovery/male/upper-trapezius/scapular-elevation,https://musclewiki.com/recovery/female/upper-trapezius/scapular-elevation
Lower Traps,,,,,
Scapular Depression,Lower Traps,Recovery,Novice,https://musclewiki.com/recovery/male/scapula/scapular-depression,https://musclewiki.com/recovery/female/scapula/scapular-depression
Quads,,,,,
Barbell Landmine Sissy Squat,Quads,Barbell,Advanced,https://musclewiki.com/barbell/male/quads/barbell-landmine-sissy-squat,https://musclewiki.com/barbell/female/quads/barbell-landmine-sissy-squat
Dumbbell Leg Extension,Quads,Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/quads/dumbbell-leg-extension,https://musclewiki.com/dumbbells/female/quads/dumbbell-leg-extension
Bodyweight Reverse Step Up,"Quads, Rectus Femoris",Bodyweight,Advanced,https://musclewiki.com/bodyweight/male/quads/bodyweight-reverse-step-up,https://musclewiki.com/bodyweight/female/quads/bodyweight-reverse-step-up
Wall Sit,Quads,Bodyweight,Novice,https://musclewiki.com/bodyweight/male/quads/wall-sit,https://musclewiki.com/bodyweight/female/quads/wall-sit
Machine Leg Extension,Quads,Machine,Novice,https://musclewiki.com/machine/male/quads/machine-leg-extension,https://musclewiki.com/machine/female/quads/machine-leg-extension
Machine Sissy Squat,"Quads, Rectus Femoris",Machine,Intermediate,https://musclewiki.com/machine/male/quads/machine-sissy-squat,https://musclewiki.com/machine/female/quads/machine-sissy-squat
Machine Goblet Sissy Squat,"Quads, Rectus Femoris",Machine,Intermediate,https://musclewiki.com/machine/male/quads/machine-goblet-sissy-squat,https://musclewiki.com/machine/female/quads/machine-goblet-sissy-squat
Quads Stretch Variation Four,Quads,Stretches,Novice,https://musclewiki.com/stretches/male/quads/quads-stretch-variation-four,https://musclewiki.com/stretches/female/quads/quads-stretch-variation-four
Quads Stretch Variation Three,Quads,Stretches,Novice,https://musclewiki.com/stretches/male/quads/quads-stretch-variation-three,https://musclewiki.com/stretches/female/quads/quads-stretch-variation-three
Quads Stretch Variation Two,Quads,Stretches,Novice,https://musclewiki.com/stretches/male/quads/quads-stretch-variation-two,https://musclewiki.com/stretches/female/quads/quads-stretch-variation-two
Quads Stretch Variation One,Quads,Stretches,Novice,https://musclewiki.com/stretches/male/quads/quads-stretch-variation-one,https://musclewiki.com/stretches/female/quads/quads-stretch-variation-one
Cable Standing Leg Extension,"Quads, Rectus Femoris",Cables,Advanced,https://musclewiki.com/cables/male/quads/cable-standing-leg-extension,https://musclewiki.com/cables/female/quads/cable-standing-leg-extension
Cable Seated Leg Extension,Quads,Cables,Beginner,https://musclewiki.com/cables/male/quads/cable-seated-leg-extension,https://musclewiki.com/cables/female/quads/cable-seated-leg-extension
Band Leg Extension,Quads,Band,Beginner,https://musclewiki.com/band/male/quads/band-leg-extension,https://musclewiki.com/band/female/quads/band-leg-extension
Weighted Wall Sit,Quads,Plate,Beginner,https://musclewiki.com/plate/male/quads/weighted-wall-sit,https://musclewiki.com/plate/female/quads/weighted-wall-sit
Chair Pose,Quads,Yoga,Beginner,https://musclewiki.com/yoga/male/quads/chair-pose,https://musclewiki.com/yoga/female/quads/chair-pose
Crescent Moon Pose,Quads,Yoga,Beginner,https://musclewiki.com/yoga/male/quads/crescent-moon-pose,https://musclewiki.com/yoga/female/quads/crescent-moon-pose
Crescent Moon Pose Quad Stretch,Quads,Yoga,Intermediate,https://musclewiki.com/yoga/male/quads/crescent-moon-pose-quad-stretch,https://musclewiki.com/yoga/female/quads/crescent-moon-pose-quad-stretch
Crescent Moon Pose Quad Stretch With Block,Quads,Yoga,Beginner,https://musclewiki.com/yoga/male/quads/crescent-moon-pose-quad-stretch-with-block,https://musclewiki.com/yoga/female/quads/crescent-moon-pose-quad-stretch-with-block
Lord Of The Dance,Quads,Yoga,Intermediate,https://musclewiki.com/yoga/male/quads/lord-of-the-dance,https://musclewiki.com/yoga/female/quads/lord-of-the-dance
Monkey Pose,Quads,Yoga,Advanced,https://musclewiki.com/yoga/male/quads/monkey-pose,https://musclewiki.com/yoga/female/quads/monkey-pose
Runners Lunge,Quads,Yoga,Beginner,https://musclewiki.com/yoga/male/quads/runners-lunge,https://musclewiki.com/yoga/female/quads/runners-lunge
Treadmill Backwards Walk,Quads,Cardio,Beginner,https://musclewiki.com/cardio/male/quads/treadmill-backwards-walk,https://musclewiki.com/cardio/female/quads/treadmill-backwards-walk
Smith Machine Sissy Squat,"Quads, Rectus Femoris",Smith-Machine,Advanced,https://musclewiki.com/smith-machine/male/quads/smith-machine-sissy-squat,https://musclewiki.com/smith-machine/female/quads/smith-machine-sissy-squat
Kneeling Quad Stretch,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/quad-stretch-kneeling,https://musclewiki.com/recovery/female/quads/quad-stretch-kneeling
Towel Knee Extension,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/knee-extension-seated-active-floor-towel,https://musclewiki.com/recovery/female/quads/knee-extension-seated-active-floor-towel
Seated Quad Stretch,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/quad-stretch-seated,https://musclewiki.com/recovery/female/quads/quad-stretch-seated
Band Floor Quad Stretch,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/quad-stretch-floor-prone,https://musclewiki.com/recovery/female/quads/quad-stretch-floor-prone
Foam Roller Quad Mobilisation,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/quad-mobilisation-floor-foam-roller,https://musclewiki.com/recovery/female/quads/quad-mobilisation-floor-foam-roller
Seated Hip Flexion Hold,"Quads, Rectus Femoris",Recovery,Beginner,https://musclewiki.com/recovery/male/quads/hip-flexion-seated-bench-isometric,https://musclewiki.com/recovery/female/quads/hip-flexion-seated-bench-isometric
Femoral Nerve Mobilisation,Quads,Recovery,Novice,https://musclewiki.com/recovery/male/quads/femoral-nerve-mobilisation,https://musclewiki.com/recovery/female/quads/femoral-nerve-mobilisation
Knee Extension Seated Partial,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/knee-extension-seated-partial,https://musclewiki.com/recovery/female/quads/knee-extension-seated-partial
Towel Knee Extension Hold,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/knee-extension-seated-isometric-floor-towel,https://musclewiki.com/recovery/female/quads/knee-extension-seated-isometric-floor-towel
Band Knee Extension,Quads,Recovery,Beginner,https://musclewiki.com/recovery/male/quads/knee-extension-closed-chain-standing-resisted,https://musclewiki.com/recovery/female/quads/knee-extension-closed-chain-standing-resisted
Hip Flexor Stretch Kneeling Lunge 3,"Quads, Rectus Femoris",Recovery,Beginner,https://musclewiki.com/recovery/male/quads/hip-flexor-stretch-kneeling-lunge-3,https://musclewiki.com/recovery/female/quads/hip-flexor-stretch-kneeling-lunge-3
Hip Flexor Stretch Kneeling Lunge 2,"Quads, Rectus Femoris",Recovery,Beginner,https://musclewiki.com/recovery/male/quads/hip-flexor-stretch-kneeling-lunge-2,https://musclewiki.com/recovery/female/quads/hip-flexor-stretch-kneeling-lunge-2
Hip Flexor Stretch Kneeling Lunge 1,"Quads, Rectus Femoris",Recovery,Beginner,https://musclewiki.com/recovery/male/quads/hip-flexor-stretch-kneeling-lunge-1,https://musclewiki.com/recovery/female/quads/hip-flexor-stretch-kneeling-lunge-1
Standing Mini-Band Hip Flexion,"Quads, Rectus Femoris",Recovery,Beginner,https://musclewiki.com/recovery/male/quads/hip-flexions-standing-resisted,https://musclewiki.com/recovery/female/quads/hip-flexions-standing-resisted
Inner Thigh,,,,,
Machine Hip Adduction,"Inner Thigh, Groin",Machine,Novice,https://musclewiki.com/machine/male/inner-thigh/machine-hip-adduction,https://musclewiki.com/machine/female/inner-thigh/machine-hip-adduction
Machine Hip And Glute Adduction,"Inner Thigh, Groin",Machine,Novice,https://musclewiki.com/machine/male/inner-thigh/machine-hip-and-glute-adduction,https://musclewiki.com/machine/female/inner-thigh/machine-hip-and-glute-adduction
Adductor Stretch Seated Bilateral Static,Inner Thigh,Recovery,Beginner,https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-seated-bilateral-static,https://musclewiki.com/recovery/female/inner-thigh/adductor-stretch-seated-bilateral-static
Adductor Stretch Seated Bilateral Dynamic,Inner Thigh,Recovery,Beginner,https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-seated-bilateral-dynamic,https://musclewiki.com/recovery/female/inner-thigh/adductor-stretch-seated-bilateral-dynamic
Adductor Stretch Dynamic Unilateral 4 Point Position,Inner Thigh,Recovery,Beginner,https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-dynamic-unilateral-4-point-position,https://musclewiki.com/recovery/female/inner-thigh/adductor-stretch-dynamic-unilateral-4-point-position
Adductor Stretch Dynamic Standing Alternate,Inner Thigh,Recovery,Beginner,https://musclewiki.com/recovery/male/inner-thigh/adductor-stretch-dynamic-standing-alternate,https://musclewiki.com/recovery/female/inner-thigh/adductor-stretch-dynamic-standing-alternate
Adductor Raise Side Lying Short Lever,Inner Thigh,Recovery,Intermediate,https://musclewiki.com/recovery/male/inner-thigh/adductor-raise-side-lying-short-lever,https://musclewiki.com/recovery/female/inner-thigh/adductor-raise-side-lying-short-lever
Adductor Raise Side Lying Long Lever,Inner Thigh,Recovery,Advanced,https://musclewiki.com/recovery/male/inner-thigh/adductor-raise-side-lying-long-lever,https://musclewiki.com/recovery/female/inner-thigh/adductor-raise-side-lying-long-lever
Adductor Leg Raise Side Lying Isometric,Inner Thigh,Recovery,Beginner,https://musclewiki.com/recovery/male/inner-thigh/adductor-leg-raise-side-lying-isometric,https://musclewiki.com/recovery/female/inner-thigh/adductor-leg-raise-side-lying-isometric
Adductor Leg Raise Side Lying,Inner Thigh,Recovery,Beginner,https://musclewiki.com/recovery/male/inner-thigh/adductor-leg-raise-side-lying,https://musclewiki.com/recovery/female/inner-thigh/adductor-leg-raise-side-lying
Inner Quadriceps,,,,,
Rectus Femoris,,,,,
Floor Incline Leg Raise,Rectus Femoris,Recovery,Novice,https://musclewiki.com/recovery/male/rectus-femoris/leg-raise-straight-incline-seated,https://musclewiki.com/recovery/female/rectus-femoris/leg-raise-straight-incline-seated
Standing Knee Raise Hold,Rectus Femoris,Recovery,Novice,https://musclewiki.com/recovery/male/rectus-femoris/knee-raise-standing-unilateral,https://musclewiki.com/recovery/female/rectus-femoris/knee-raise-standing-unilateral
Band Straight Leg Hip Flexions,Rectus Femoris,Recovery,Beginner,https://musclewiki.com/recovery/male/rectus-femoris/hip-flexions-straight-leg-standing-resisted,https://musclewiki.com/recovery/female/rectus-femoris/hip-flexions-straight-leg-standing-resisted
Chest,,,,,
Barbell Incline Bench Press,Chest,Barbell,Intermediate,https://musclewiki.com/barbell/male/anterior-deltoid/barbell-incline-bench-press,https://musclewiki.com/barbell/female/anterior-deltoid/barbell-incline-bench-press
Barbell Reverse Grip Bench Press,"Chest, Mid and Lower Chest",Barbell,Intermediate,https://musclewiki.com/barbell/male/chest/barbell-reverse-grip-bench-press,https://musclewiki.com/barbell/female/chest/barbell-reverse-grip-bench-press
Dumbbell Chest Fly,Chest,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/chest/dumbbell-chest-fly,https://musclewiki.com/dumbbells/female/chest/dumbbell-chest-fly
Dumbbell Decline Chest Fly,Chest,Dumbbells,Novice,https://musclewiki.com/dumbbells/male/chest/dumbbell-decline-chest-fly,https://musclewiki.com/dumbbells/female/chest/dumbbell-decline-chest-fly
Dumbbell Incline Chest Fly,"Chest, Upper Pectoralis",Dumbbells,Beginner,https://musclewiki.com/dumbbells/male/chest/dumbbell-incline-chest-fly,https://musclewiki.com/dumbbells/female/chest/dumbbell-incline-chest-fly
Dumbbell Internally Rotated Chest Fly,Chest,Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/chest/dumbbell-internally-rotated-chest-fly,https://musclewiki.com/dumbbells/female/chest/dumbbell-internally-rotated-chest-fly
Dumbbell Internally Rotated Incline Chest Fly,"Chest, Upper Pectoralis",Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/chest/dumbbell-internally-rotated-incline-chest-fly,https://musclewiki.com/dumbbells/female/chest/dumbbell-internally-rotated-incline-chest-fly
Dumbbell Reverse Grip Bench Press,"Chest, Mid and Lower Chest",Dumbbells,Intermediate,https://musclewiki.com/dumbbells/male/chest/dumbbell-reverse-grip-bench-press,https://musclewiki.com/dumbbells/female/chest/dumbbell-reverse-grip-bench-press
Push Up,"Chest, Mid and Lower Chest",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/chest/push-up,https://musclewiki.com/bodyweight/female/chest/push-up
Ring Standing Chest Fly,Chest,Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/chest/ring-standing-chest-fly,https://musclewiki.com/bodyweight/female/chest/ring-standing-chest-fly
Bodyweight Hands Up Push Ups,"Chest, Mid and Lower Chest",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/chest/bodyweight-hands-up-push-ups,https://musclewiki.com/bodyweight/female/chest/bodyweight-hands-up-push-ups
Leg Raised Push Up,"Chest, Mid and Lower Chest",Bodyweight,Beginner,https://musclewiki.com/bodyweight/male/chest/leg-raised-push-up,https://musclewiki.com/bodyweight/female/chest/leg-raised-push-up
Machine Pec Fly,Chest,Machine,Novice,https://musclewiki.com/machine/male/chest/machine-pec-fly,https://musclewiki.com/machine/female/chest/machine-pec-fly
Medicine Ball Chest Press Slam,Chest,Medicine-Ball,Beginner,https://musclewiki.com/medicine-ball/male/chest/chest-press-slam,https://musclewiki.com/medicine-ball/female/chest/chest-press-slam
Medicine Ball Chest Press Toss,Chest,Medicine-Ball,Beginner,https://musclewiki.com/medicine-ball/male/chest/chest-press-toss,https://musclewiki.com/medicine-ball/female/chest/chest-press-toss
Kettlebell Single Arm Chest Fly,Chest,Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/chest/kettlebell-single-arm-chest-fly,https://musclewiki.com/kettlebells/female/chest/kettlebell-single-arm-chest-fly
Kettlebell Pec Fly,Chest,Kettlebells,Beginner,https://musclewiki.com/kettlebells/male/chest/kettlebell-pec-fly,https://musclewiki.com/kettlebells/female/chest/kettlebell-pec-fly
Chest Stretch Variation Four,Chest,Stretches,Novice,https://musclewiki.com/stretches/male/chest/chest-stretch-variation-four,https://musclewiki.com/stretches/female/chest/chest-stretch-variation-four
